2018-06-28 12:34:42,555 [  18754]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android/sys-img2-1.xml 
2018-06-28 12:34:43,238 [  19437]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear/sys-img2-1.xml 
2018-06-28 12:34:43,755 [  19954]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@6c916c49 
2018-06-28 12:34:43,786 [  19985]   INFO - exImpl$StubIndexInitialization - Initialization done:1516 
2018-06-28 12:34:45,883 [  22082]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@1815d5ad 
2018-06-28 12:34:46,189 [  22388]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.codeInsight.completion.CompletionPreloader@23a3b928 
2018-06-28 12:34:46,195 [  22394]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.actions.GotoClassPresentationUpdater@6334d4b2 
2018-06-28 12:34:46,373 [  22572]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear-cn/sys-img2-1.xml 
2018-06-28 12:34:46,504 [  22703]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-tv/sys-img2-1.xml 
2018-06-28 12:34:46,626 [  22825]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis/sys-img2-1.xml 
2018-06-28 12:34:46,807 [  23006]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis_playstore/sys-img2-1.xml 
2018-06-28 12:34:46,931 [  23130]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addon2-1.xml 
2018-06-28 12:34:47,219 [  23418]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/glass/addon2-1.xml 
2018-06-28 12:34:47,407 [  23606]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/extras/intel/addon2-1.xml 
2018-06-28 12:34:47,528 [  23727]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/repository2-1.xml 
2018-06-28 12:35:03,207 [  39406]   INFO - ellij.project.impl.ProjectImpl - 20 project components initialized in 348 ms 
2018-06-28 12:35:12,786 [  48985]   INFO - ellij.project.impl.ProjectImpl - 154 project components initialized in 1913 ms 
2018-06-28 12:35:12,787 [  48986]   INFO - le.impl.ModuleManagerComponent - 0 module(s) loaded in 0 ms 
2018-06-28 12:35:13,312 [  49511]   INFO - j.ide.script.IdeStartupScripts - 0 startup script(s) found 
2018-06-28 12:35:14,038 [  50237]   INFO - ntellij.internal.IconsLoadTime - IMG load time: total=383.77ms, average=3.84ms, median=0.88ms; number of icons: 100 
2018-06-28 12:35:14,418 [  50617]   INFO - CompilerBackwardReferenceIndex - backward reference index version differ due to: class java.io.FileNotFoundException 
2018-06-28 12:35:14,633 [  50832]   INFO - ntellij.internal.IconsLoadTime - IMG load time: ide_startup=397.18ms, average=3.26ms, median=1.24ms; number of icons: 122 
2018-06-28 12:35:14,742 [  50941]   INFO - ge.ExternalProjectsDataStorage - Loaded external projects data in 9 millis 
2018-06-28 12:35:14,820 [  51019]   INFO - .diagnostic.PerformanceWatcher - Post-startup activities under progress took 243ms; general responsiveness: ok; EDT responsiveness: ok 
2018-06-28 12:35:14,824 [  51023]   WARN - openapi.wm.impl.ToolWindowImpl - ToolWindow icons should be 13x13. Please fix ToolWindow (ID:  TestDoxon) or icon jar:file:/C:/Users/etenphi/DoxonProject/intellijIdea/application/TestDoxon/build/idea-sandbox/plugins/TestDoxon/lib/TestDoxon-1.0-SNAPSHOT.jar!/icons/testDox16px.png 
2018-06-28 12:35:14,847 [  51046]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: com.intellij.util.indexing.UnindexedFilesUpdater@226bac3c 
2018-06-28 12:35:14,987 [  51186]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 54ms; general responsiveness: ok; EDT responsiveness: ok 
2018-06-28 12:35:15,355 [  51554]   INFO - tartup.impl.StartupManagerImpl - C:/Users/etenphi/IdeaProjects/untitled2/.idea case-sensitivity: expected=false actual=false 
2018-06-28 12:35:15,371 [  51570]   INFO - pl.projectlevelman.NewMappings - VCS Root: [] - [<Project>] 
2018-06-28 12:35:15,572 [  51771]   INFO - penapi.project.DumbServiceImpl - cancel com.intellij.util.indexing.UnindexedFilesUpdater@226bac3c 
2018-06-28 12:35:15,573 [  51772]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 583ms; general responsiveness: ok; EDT responsiveness: 1/1 sluggish 
2018-06-28 12:35:15,575 [  51774]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 151 files to update 
2018-06-28 12:35:15,576 [  51775]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update canceled 
2018-06-28 12:35:15,630 [  51829]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: initial refresh 
2018-06-28 12:35:15,661 [  51860]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: com.intellij.util.indexing.UnindexedFilesUpdater@1281d311 
2018-06-28 12:35:15,668 [  51867]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 1ms; general responsiveness: ok; EDT responsiveness: ok 
2018-06-28 12:35:15,680 [  51879]   INFO - tor.impl.FileEditorManagerImpl - Project opening took 4828 ms 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.kotlin loaded 2269 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.android loaded 1403 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - org.intellij.groovy loaded 517 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.maven loaded 242 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - com.intellij.uiDesigner loaded 208 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - Git4Idea loaded 112 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.debugger.streams loaded 107 classes 
2018-06-28 12:35:15,680 [  51879]   INFO - llij.ide.plugins.PluginManager - com.intellij.tasks loaded 104 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - CVS loaded 81 classes 
